circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,black.stopped,text_A.started,polygon.started,key_resp_3.started,polygon.stopped,key_resp_3.stopped,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,feedback1.started,text_3.started,key_resp_9.started,feedback1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,intro_B.started,text_4.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,text_5.stopped,polygon_2.stopped,key_resp_4.stopped,feedback2.started,text_6.started,key_resp_10.started,feedback2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,polygon_3.stopped,key_resp_7.stopped,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,feedback3.started,text_9.started,key_resp_8.started,feedback3.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02984039999955712,2.1559227999996438,space,2.1081141999993633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,2.155943799999477,2.1648887999999715,2.7389745999998922,space,0.5667957000005117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,0,0,0,1,,,,,,,,,2.7555108999995355,,,,,,,,,,,,,2.7512644999997065,2.7555108999995355,6.74901299999965,6.743783400000211,6.743796799999473,7.135798299999806,7.135812800000167,7.147542200000316,7.147542200000316,10.137738100000206,10.137738100000206,10.132288699999663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,0,1,1,3,,,,,,,,,10.137738100000206,,,,,,,,,,,,,10.1325154999995,10.137738100000206,14.129610899999534,14.124247799999466,14.12425919999987,14.514450099999522,14.514460399999734,14.519961099999819,14.519961099999819,,,15.338247599999704,j,0.7996193999997558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,0,2,2,0,,,,,,,,,15.345482699999593,,,,,,,,,,,,,15.338771099999576,15.345482699999593,17.339039599999523,17.333428500000082,17.33344070000021,17.72924150000017,17.729251199999453,17.734920699999748,17.734920699999748,,,18.34180279999964,j,0.602734899999632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,0,3,3,6,,,,,,,,,18.345958799999607,,,,,,,,,,,,,18.342029499999626,18.345958799999607,20.339459499999975,20.333503599999858,20.33351539999967,20.729534000000058,20.729544400000123,20.73494279999977,20.73494279999977,,,21.162670300000173,j,0.41961580000042886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,0,4,4,5,,,,,,,,,21.171834099999614,,,,,,,,,,,,,21.163144699999975,21.171834099999614,25.1655152000003,25.16055619999952,25.16056810000009,25.5557060000001,25.55571619999955,25.56122460000006,25.56122460000006,28.5547803999998,28.5547803999998,28.5489477000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,0,5,5,9,,,,,,,,,28.5547803999998,,,,,,,,,,,,,28.549120599999696,28.5547803999998,30.547319600000264,30.54185419999976,30.54186589999972,30.937675999999556,30.937686000000213,30.943183899999894,30.943183899999894,33.93622959999993,33.93622959999993,33.930872299999464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,0,6,6,7,,,,,,,,,33.93622959999993,,,,,,,,,,,,,33.93103749999955,33.93622959999993,36.9292131000002,36.92384399999992,36.92386290000013,37.31980999999996,37.319820400000026,37.32526119999966,37.32526119999966,40.31822490000013,40.31822490000013,40.31296519999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,0,7,7,8,,,,,,,,,40.31822490000013,,,,,,,,,,,,,40.3131414999998,40.31822490000013,42.311266599999726,42.305853599999864,42.30586529999982,42.701630900000055,42.701640999999654,42.70713199999955,42.70713199999955,45.7000766000001,45.7000766000001,45.69465949999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
