circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,black.stopped,text_A.started,polygon.started,key_resp_3.started,polygon.stopped,key_resp_3.stopped,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,feedback1.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02870439999969676,3.576553099999728,space,3.5303979999998774,None,,,,,,,,,,,,,,,,,,,,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
,,,,,,,,,,,,,,3.5765748999992866,3.5865569999996296,4.066278899999816,space,0.47688019999986864,None,,,,,,,,,,,,,,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
red,j,1,0,0,0,4,4.084500699999808,,,,,,,,,,,,,4.0780979000001025,4.084500699999808,8.078298399999767,8.073023299999477,8.07303629999933,8.468886999999995,8.468897199999446,8.474362699999801,8.474362699999801,11.467013800000132,11.467013800000132,11.461739999999736,None,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
red,j,1,0,1,1,6,11.467013800000132,,,,,,,,,,,,,11.461973299999954,11.467013800000132,14.45895930000006,14.453532199999245,14.453543900000113,14.849699999999757,14.849708799999462,14.855458399999407,14.855458399999407,,,16.04408699999931,j,1.1764240000002246,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
red,j,1,0,2,2,0,16.04969709999932,,,,,,,,,,,,,16.044400899999346,16.04969709999932,20.043185699999412,20.037747999999738,20.03775939999923,20.433525699999336,20.43353500000012,20.439118999999664,20.439118999999664,,,20.670145399999456,j,0.22994870000002265,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
blue,f,0,0,3,3,1,20.67822259999957,,,,,,,,,,,,,20.67035009999927,20.67822259999957,24.668335499999557,24.66260609999972,24.66261829999985,25.058412399999725,25.058422099999916,25.0641700999995,25.0641700999995,,,25.37607249999928,j,0.294963800000005,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
blue,f,0,0,4,4,9,25.383178000000044,,,,,,,,,,,,,25.376308699999754,25.383178000000044,29.37652849999995,29.371006800000032,29.37101899999925,29.767073799999707,29.76708729999973,29.772429799999372,29.772429799999372,,,30.303582900000038,j,0.5264234000005672,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
blue,f,0,0,5,5,3,30.31025319999935,,,,,,,,,,,,,30.303805399999874,30.31025319999935,33.300174199999674,33.29471479999938,33.29472729999998,33.69089209999947,33.6909028,33.696246399999836,33.696246399999836,,,33.82294639999964,j,0.12539800000013201,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
blue,f,0,0,6,6,7,33.83253259999947,,,,,,,,,,,,,33.82315359999939,33.83253259999947,35.82793289999972,35.8223782999994,35.822390399999676,36.21845289999965,36.21846249999999,36.22387589999926,36.22387589999926,39.216969600000084,39.216969600000084,39.21126060000006,None,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
red,j,1,0,7,7,2,39.216969600000084,,,,,,,,,,,,,39.21145059999981,39.216969600000084,43.209950200000094,43.204268699999375,43.20428019999963,43.60010779999993,43.6001169000001,43.60578259999966,43.60578259999966,46.59880519999933,46.59880519999933,46.593348099999275,None,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
red,j,1,0,8,8,8,46.59880519999933,,,,,,,,,,,,,46.59352080000008,46.59880519999933,49.59224559999984,49.58633259999988,49.586344199999985,49.98223159999998,49.9822409999997,49.987669999999525,49.987669999999525,52.98077749999993,52.98077749999993,52.97531759999947,None,,,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
blue,f,0,0,9,9,5,52.98077749999993,,,,,,,,,,,,,52.97548959999949,52.98077749999993,55.97373299999981,55.968253600000025,55.96826499999952,56.36413540000012,56.3641448999997,56.36969779999981,56.36969779999981,,,56.81774899999982,j,0.44290300000011484,None,,,113981,001,2024-10-21_21h43.50.031,untitled,2024.1.5,None,2024-10-21 21h43.54.325202 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.81791599999997,56.8411602999995,,,,,,,,
