circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,black.stopped,text_A.started,polygon.started,key_resp_3.started,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,feedback1.started,text_3.started,key_resp_9.started,feedback1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,intro_B.started,text_4.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,text_5.stopped,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,polygon_2.stopped,key_resp_4.stopped,feedback2.started,text_6.started,key_resp_10.started,feedback2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,feedback3.started,text_9.started,key_resp_8.started,feedback3.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,end.started,text_10.started,text_10.stopped,end.stopped,participant,session,name,age,gender,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0033886000001075445,2.3415705999996135,space,2.3297318999993877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
,,,,,,,,,,,,,,,,,,,,,,2.341596099999151,2.3452622999993764,3.4720510999995895,space,1.1238582000005408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,0,0,0,1,,,,,,,,,3.487236999999368,,,,,,,,,,,,,3.483118199999808,3.487236999999368,7.483134499998414,7.476463299999523,7.476474799999778,7.872307099998579,7.872316699998919,7.879003500000181,7.879003500000181,8.997484299999996,j,1.1158006000005116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,0,1,1,7,,,,,,,,,9.004078599999048,,,,,,,,,,,,,8.997858699998687,9.004078599999048,10.998632299999372,10.99200049999854,10.992013199998837,11.387831699999879,11.387844999999288,11.394535399998858,11.394535399998858,13.080249999999069,j,1.6821381000008842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,0,2,2,8,,,,,,,,,13.087265000000116,,,,,,,,,,,,,13.080467699999645,13.087265000000116,17.080336699998952,17.07504709999921,17.075059999999212,17.469533899999078,17.469543799999883,17.476234099998692,17.476234099998692,17.837858899998537,j,0.35588319999988016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,0,3,3,4,,,,,,,,,17.84425779999947,,,,,,,,,,,,,17.838092899999538,17.84425779999947,19.837238799998886,19.83054159999847,19.83058759999949,20.226462399999946,20.226475099998424,20.233114199998454,20.233114199998454,20.67400589999852,j,0.4376301999982388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,0,4,4,3,,,,,,,,,20.677634899999248,,,,,,,,,,,,,20.674247999999352,20.677634899999248,22.670603499998833,22.66386049999892,22.663872199998877,23.05978099999993,23.059790699999212,23.066463499999372,23.066463499999372,23.574815999998464,j,0.5060646000001725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,0,5,5,6,,,,,,,,,23.58040599999913,,,,,,,,,,,,,23.575039299999844,23.58040599999913,27.57334649999939,27.566704999999274,27.566715699998895,27.962583799999265,27.962592500000028,27.96922949999862,27.96922949999862,28.201156099999935,j,0.228691100001015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,0,6,6,0,,,,,,,,,28.205370599998787,,,,,,,,,,,,,28.201380299999073,28.205370599998787,31.198405199998888,31.19170259999919,31.19171429999915,31.58752159999858,31.587530400000105,31.594214299999294,31.594214299999294,31.85236409999925,j,0.2572684999995545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,0,7,7,5,,,,,,,,,31.85813599999892,,,,,,,,,,,,,31.852885499998592,31.85813599999892,34.85118319999856,34.84445219999907,34.84446419999949,35.24026229999981,35.24027169999863,35.24704819999897,35.24704819999897,35.380444299999,j,0.1298958000006678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,0,8,8,2,,,,,,,,,35.38593459999902,,,,,,,,,,,,,35.38065099999949,35.38593459999902,38.37892490000013,38.37329449999925,38.37330649999967,38.768059599999106,38.768068599998514,38.77485539999907,38.77485539999907,39.04012809999949,j,0.2617470000004687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,0,9,9,9,,,,,,,,,39.04569569999876,,,,,,,,,,,,,39.040384599999015,39.04569569999876,41.03863359999923,41.03196949999983,41.03198220000013,41.42773549999947,41.427744699998584,41.4345231999996,41.4345231999996,41.99805599999854,j,0.5625490000002173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,1,0,10,2,,,,,,,,,42.004038899998704,,,,,,,,,,,,,41.99839449999854,42.004038899998704,44.99705969999923,44.99041049999869,44.99042569999983,45.386143799998536,45.386153399998875,45.39302399999906,45.39302399999906,45.622586800000136,j,0.22403990000020713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,1,1,11,9,,,,,,,,,45.629044799999974,,,,,,,,,,,,,45.622842499999024,45.629044799999974,49.621971499998835,49.615349399999104,49.6153607999986,50.01112809999904,50.011137399998915,50.01784129999942,50.01784129999942,50.24750679999852,j,0.22303769999962242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,1,2,12,4,,,,,,,,,50.25394059999962,,,,,,,,,,,,,50.247758800000156,50.25394059999962,52.24706939999851,52.24042289999852,52.24043429999983,52.636131499999465,52.63614029999917,52.6429107999993,52.6429107999993,53.06126979999863,j,0.4146025999998528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,1,3,13,0,,,,,,,,,53.06650300000001,,,,,,,,,,,,,53.06148799999937,53.06650300000001,55.059539299998505,55.05294969999886,55.05296189999899,55.44864719999896,55.448656099999425,55.4554035000001,55.4554035000001,55.6919702999985,j,0.23287970000092173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,1,4,14,3,,,,,,,,,55.69844430000012,,,,,,,,,,,,,55.69218120000005,55.69844430000012,59.69147209999937,59.68468649999886,59.684697400000005,60.080557899998894,60.08056739999847,60.08733289999873,60.08733289999873,60.19889229999899,j,0.10583930000029795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,1,5,15,5,,,,,,,,,60.20539969999845,,,,,,,,,,,,,60.19918069999949,60.20539969999845,62.19836029999897,62.19166739999855,62.19167909999851,62.58754779999981,62.58755749999909,62.59435279999889,62.59435279999889,62.928105299999515,j,0.33090330000050017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,1,6,16,6,,,,,,,,,62.93459819999953,,,,,,,,,,,,,62.92836029999853,62.93459819999953,66.92758789999971,66.9220637999988,66.92207599999892,67.31671889999961,67.31672819999949,67.32347870000012,67.32347870000012,67.42812279999998,j,0.09891969999989669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,1,7,17,8,,,,,,,,,67.43462649999856,,,,,,,,,,,,,67.42843309999989,67.43462649999856,70.42752419999852,70.42199499999879,70.42200909999883,70.81670599999961,70.81671509999978,70.82348169999932,70.82348169999932,70.84534359999998,j,0.018974399999933667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,1,8,18,1,,,,,,,,,70.85123789999852,,,,,,,,,,,,,70.84557159999895,70.85123789999852,73.84425670000019,73.83746579999934,73.83747709999989,74.23341909999908,74.23342869999942,74.24014739999984,74.24014739999984,74.51914159999978,j,0.27698699999928067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,1,9,19,7,,,,,,,,,74.52490839999882,,,,,,,,,,,,,74.51936409999871,74.52490839999882,78.51789699999972,78.51242269999966,78.51243429999886,78.9070058999987,78.90701489999992,78.91391250000015,78.91391250000015,79.268292499999,j,0.3521775000008347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26847929999894,79.28060379999988,79.28060379999988,81.50449320000007,space,2.2191235999998753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.50451189999876,81.51109579999866,81.51109579999866,84.60875779999878,space,3.093786100000216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,0,0,0,0,,,,,84.62040809999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61819289999949,84.62040809999962,86.61507309999979,86.60891329999868,86.6089252999991,86.61507309999979,87.01097279999885,87.00416799999948,87.00417799999923,87.01097279999885,87.01097279999885,87.7614837000001,j,0.7442766000003758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,0,1,1,8,,,,,87.76787150000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.76177559999996,87.76787150000018,91.76188980000006,91.7544025999996,91.754415899999,91.76188980000006,92.15710769999896,92.15021840000009,92.15022839999983,92.15710769999896,92.15710769999896,92.5884475999992,j,0.4295531000007031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,0,2,2,9,,,,,92.59454310000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.58877629999915,92.59454310000001,95.58723479999935,95.58058789999995,95.58059939999839,95.58723479999935,95.98320219999914,95.97644779999973,95.97645779999948,95.98320219999914,95.98320219999914,98.96956949999912,None,,,98.97655459999987,98.97655459999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,0,3,3,2,,,,,98.97655459999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.96980909999911,98.97655459999987,100.96936169999935,100.96266939999987,100.96268219999911,100.96936169999935,101.36523189999934,101.35841719999917,101.35842869999942,101.36523189999934,101.36523189999934,101.7127707999989,j,0.3416371999992407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,0,4,4,3,,,,,101.7192787999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.71299379999982,101.7192787999993,103.71222139999918,103.70561119999911,103.70562309999877,103.71222139999918,104.1081024999985,104.10132709999925,104.10133559999849,104.1081024999985,104.1081024999985,107.09449959999984,None,,,107.10113209999872,107.10113209999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,0,5,5,6,,,,,107.10113209999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.09466989999964,107.10113209999872,110.09426050000002,110.08769329999996,110.08770499999991,110.09426050000002,110.49004950000017,110.48326039999847,110.48326999999881,110.49004950000017,110.49004950000017,110.78923659999964,j,0.29369829999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,0,6,6,4,,,,,110.79574519999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.78949999999895,110.79574519999915,114.78860629999872,114.78196219999882,114.78197369999907,114.78860629999872,115.1845401999999,115.17769749999934,115.17770659999951,115.1845401999999,115.1845401999999,115.56699239999944,j,0.3768447999991622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,0,7,7,7,,,,,115.57337569999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56724509999913,115.57337569999981,119.56611429999975,119.5594715999996,119.55948539999918,119.56611429999975,119.95541539999977,119.94870089999858,119.94870939999964,119.95541539999977,119.95541539999977,122.94165689999863,None,,,122.9483779000002,122.9483779000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,0,8,8,1,,,,,122.9483779000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.94183329999942,122.95535389999895,125.94837550000011,125.94159249999939,125.94160419999935,125.94837550000011,126.34420949999912,126.3374144999998,126.3374234999992,126.34420949999912,126.34420949999912,129.33052449999923,None,,,129.3372236999985,129.3372236999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,0,9,9,5,,,,,129.3372236999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.33070269999916,129.3372236999985,133.33026749999954,133.32359109999925,133.32360319999862,133.33026749999954,133.72621099999924,133.71942969999873,133.71943979999924,133.72621099999924,133.72621099999924,136.71258789999956,None,,,136.71920639999917,136.71920639999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,1,0,10,7,,,,,136.71920639999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.7127600999993,136.71920639999917,138.71220569999969,138.70551469999918,138.70552599999974,138.71220569999969,139.108164199999,139.1013511000001,139.10135939999964,139.108164199999,139.108164199999,142.09440799999902,None,,,142.1011211999994,142.1011211999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,1,1,11,0,,,,,142.1011211999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.09458749999976,142.1011211999994,144.0941914999985,144.08745279999857,144.08746409999912,144.0941914999985,144.4916943999997,144.48328519999995,144.4832938999989,144.4916943999997,144.4916943999997,144.85863179999978,j,0.3639411999993172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,1,2,12,1,,,,,144.86508589999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8589050999999,144.86508589999903,146.85803440000018,146.85133869999845,146.85135059999993,146.85803440000018,147.25396139999975,147.24720119999984,147.2472104999997,147.25396139999975,147.25396139999975,150.24026520000007,None,,,150.24701969999842,150.24701969999842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,1,3,13,9,,,,,150.24701969999842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.24043059999894,150.24701969999842,153.2400463999984,153.23345059999883,153.2334624999985,153.2400463999984,153.63591300000007,153.62912759999926,153.62913669999944,153.63591300000007,153.63591300000007,156.6222576,None,,,156.62889039999936,156.62889039999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
red,j,1,,,,,1,4,14,8,,,,,156.62889039999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.62243729999864,156.62889039999936,158.621989199999,158.6153058,158.61531709999872,158.621989199999,159.01785399999972,159.01109600000018,159.0111057999984,159.01785399999972,159.01785399999972,159.61553509999976,j,0.5916607000017393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
blue,f,0,,,,,1,5,15,5,,,,,159.62199299999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.61578149999877,159.62199299999884,162.61503529999936,162.60834479999903,162.60835699999916,162.61503529999936,163.0109278,163.00413429999935,163.00414269999965,163.0109278,163.0109278,165.99737209999876,None,,,166.0039388999994,166.0039388999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414230,001,,,,2024-10-21_22h49.15.860,untitled,2024.1.5,None,2024-10-21 22h49.27.323801 +0800,
