circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,text_5.stopped,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,polygon_2.stopped,key_resp_4.stopped,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,feedback2.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.029271400000652648,2.4561939000004713,space,2.40840500000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
,,,,,,,,,,,,,,,,,,2.456215300000622,2.456326400000762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,0,0,0,5,,,,,2.4793478999999934,,,,,,,,,2.4664943000007042,2.4667458000003535,2.46675470000082,2.466857300000811,2.466863800000283,2.466948300000695,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,0,1,1,3,,,,,2.4793478999999934,,,,,,,,,2.4670465000008335,2.467136700000083,2.467142899999999,2.467216100000769,2.467221700000664,2.467290000000503,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,0,2,2,0,,,,,2.4793478999999934,,,,,,,,,2.4673718000003646,2.4674538000008397,2.467460100000608,2.467528900000616,2.4675341000001936,2.4675985000003493,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,0,3,3,8,,,,,2.4793478999999934,,,,,,,,,2.467671500000506,2.467746100000113,2.4677520000004733,2.4678183000005447,2.4678235999999742,2.4678868000000875,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,0,4,4,7,,,,,2.4793478999999934,,,,,,,,,2.4679555000002438,2.468028900000718,2.4680349000000206,2.4681203000000096,2.4681258000000525,2.468192500000441,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,0,5,5,2,,,,,2.4793478999999934,,,,,,,,,2.468263400000069,2.468340000000353,2.4683458000008613,2.4684157000001505,2.4684207000000242,2.4684829000007085,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,0,6,6,1,,,,,2.4793478999999934,,,,,,,,,2.4685494000004837,2.468627300000662,2.4686336000004303,2.468702800000756,2.4687081000001854,2.468774200000553,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,0,7,7,9,,,,,2.4793478999999934,,,,,,,,,2.4688471000008576,2.468923000000359,2.468928600000254,2.4689963000000716,2.469001400000707,2.469070900000588,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
