circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,feedback2.started,feedback2.stopped,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,polygon_3.stopped,key_resp_7.stopped,feedback3.started,text_9.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.027345399999830988,1.2162410000000818,space,1.176268600000185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
,,,,,,,,,,,,,,,,,,,,,,1.216261399999894,1.2163667000004352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,0,0,0,0,,,,,,,,,1.2535994999998366,,,,,,,,,1.2270895000001474,1.22736950000035,1.2273797999996532,1.227538000000095,1.2275441000001592,1.2276748000003863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,0,1,1,1,,,,,,,,,1.2535994999998366,,,,,,,,,1.2277778999996372,1.2278839999999036,1.227890500000285,1.2279718999998295,1.2279773999998724,1.2280509000001985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,0,2,2,3,,,,,,,,,1.2535994999998366,,,,,,,,,1.2281315999998696,1.2282136000003447,1.228219700000409,1.2282931999998254,1.2282985000001645,1.2283863000002384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,0,3,3,7,,,,,,,,,1.2535994999998366,,,,,,,,,1.228462699999909,1.2285616999997728,1.2285683000000063,1.2286451999998462,1.2286506999998892,1.228721499999665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,0,4,4,5,,,,,,,,,1.2535994999998366,,,,,,,,,1.228794100000414,1.2288737999997466,1.2288796000002549,1.2289509000002,1.2289561999996295,1.229025100000399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,0,5,5,6,,,,,,,,,1.2535994999998366,,,,,,,,,1.2290951000004497,1.2291762000004383,1.229182099999889,1.2292542000004687,1.2292593000001943,1.2293282000000545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,0,6,6,8,,,,,,,,,1.2535994999998366,,,,,,,,,1.229421000000002,1.2295159000004787,1.2295223999999507,1.229599899999812,1.2296056000004683,1.2296777000001384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,0,7,7,2,,,,,,,,,1.2535994999998366,,,,,,,,,1.229750000000422,1.2298305000003893,1.229836499999692,1.2299112000000605,1.2299162999997861,1.2299876999995831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,0,8,8,9,,,,,,,,,1.2535994999998366,,,,,,,,,1.2300586999999723,1.2301379999998971,1.2301439000002574,1.230214899999737,1.2302198999996108,1.2302883000002112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
