circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,key_resp_3.started,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.stopped,key_resp_3.stopped,feedback1.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02609400000073947,2.3225805000001856,space,2.2796012000007977,None,,,,,,,,,,,,,,,,,,,,,,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
,,,,,,,,,,,,,,2.3226001000002725,2.331957300000795,2.799823400000605,space,0.4648609000005308,None,,,,,,,,,,,,,,,,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
blue,f,0,0,0,0,1,2.819647000000259,,,,,,,,,,,,,2.8104362000003675,2.819647000000259,5.811757400000715,5.806333200000154,5.806344700000409,5.811757400000715,6.207638700000643,6.202152000000751,6.202163100000689,6.207638700000643,6.207638700000643,7.918094700000438,j,1.706026899999415,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
red,j,1,0,1,1,2,7.923363000000791,,,,,,,,,,,,,7.9184031000004325,7.923363000000791,9.91772519999995,9.910530200000721,9.910542200000236,9.91772519999995,10.311703900000794,10.306357200000093,10.306368700000348,10.311703900000794,10.311703900000794,10.681782100000419,j,0.3646951999999146,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
red,j,1,0,2,2,0,10.6867598000008,,,,,,,,,,,,,10.682016000000658,10.6867598000008,14.679861999999957,14.674240300000747,14.674251800000093,14.679861999999957,15.075620999999956,15.070092100000693,15.070106000000123,15.075620999999956,15.075620999999956,18.06315740000082,None,,,18.068688000000293,18.068688000000293,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
blue,f,0,0,3,3,5,18.068688000000293,,,,,,,,,,,,,18.063334600000417,18.068688000000293,22.061699100000624,22.0562374000001,22.05624870000065,22.061699100000624,22.457652100000814,22.45209790000081,22.452107300000534,22.457652100000814,22.457652100000814,23.68144570000004,j,1.218514000000141,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
blue,f,0,0,4,4,9,23.686692100000073,,,,,,,,,,,,,23.681678800000554,23.686692100000073,27.679737000000387,27.67435530000057,27.67436760000055,27.679737000000387,28.07570570000007,28.070244900000034,28.070254400000522,28.07570570000007,28.07570570000007,28.424545200000466,j,0.34611649999988003,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
red,j,1,0,5,5,8,28.42990700000064,,,,,,,,,,,,,28.424796300000708,28.42990700000064,30.42379130000063,30.417361100000562,30.417377800000395,30.42379130000063,30.81876370000009,30.81322630000068,30.813236200000574,30.81876370000009,30.81876370000009,31.31352910000078,j,0.4926708000002691,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
blue,f,0,0,6,6,7,31.318778500000008,,,,,,,,,,,,,31.313757400000213,31.318778500000008,34.31168090000028,34.30629980000049,34.30631150000045,34.31168090000028,34.708002500000475,34.7020506000008,34.70205990000068,34.708002500000475,34.708002500000475,35.056569300000774,j,0.34674619999987044,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
blue,f,0,0,7,7,3,35.061811300000045,,,,,,,,,,,,,35.05677940000078,35.061811300000045,37.05472290000034,37.0493391,37.04935079999996,37.05472290000034,37.450604999999996,37.4451351000007,37.445144600000276,37.450604999999996,37.450604999999996,37.904115500000444,j,0.4516344999992725,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
red,j,1,0,8,8,6,37.911110400000325,,,,,,,,,,,,,37.90433100000064,37.911110400000325,39.90203650000058,39.89653309999994,39.89654510000037,39.90203650000058,40.29788120000012,40.292373000000225,40.29238250000071,40.29788120000012,40.29788120000012,40.730450900000505,j,0.4274155000002793,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
red,j,1,0,9,9,4,40.73548200000005,,,,,,,,,,,,,40.73066960000051,40.73548200000005,42.72837190000064,42.722902200000135,42.72291420000056,42.72837190000064,43.12428050000017,43.11874330000046,43.1187529000008,43.12428050000017,43.12428050000017,43.47313389999999,j,0.34494850000010047,None,,,,,635356,001,2024-10-21_21h05.14.323,untitled,2024.1.5,None,2024-10-21 21h05.18.270587 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.473308700000416,43.49143930000082,,,,,,,,
