circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.031107300000257965,1.0324694000000818,space,0.9912085000005391,None,,,,,,,,,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
,,,,,,,,,,,,,,1.032489500000338,1.0325969000004989,,,,,,,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
blue,f,0,0,0,0,9,1.0553142999997362,,,,,,,,,1.0432154000000082,1.0434198000002652,1.0434293999996953,1.0435428000000684,1.0435503999997309,1.0436471000002712,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
red,j,1,0,1,1,0,1.0553142999997362,,,,,,,,,1.0437463999996908,1.0438665000001492,1.0438739999999598,1.0439979000002495,1.0440037999997003,1.0440976999998384,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
red,j,1,0,2,2,8,1.0553142999997362,,,,,,,,,1.0441811000000598,1.0442668000005142,1.044272600000113,1.0443474000003334,1.0443530000002283,1.044420799999898,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
red,j,1,0,3,3,4,1.0553142999997362,,,,,,,,,1.0444929000004777,1.044570300000487,1.044576500000403,1.0446454000002632,1.0446508000004542,1.044716299999891,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
blue,f,0,0,4,4,3,1.0553142999997362,,,,,,,,,1.0447919999996884,1.044867300000078,1.044872999999825,1.0449460999998337,1.044952000000194,1.0450245000001814,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
blue,f,0,0,5,5,1,1.0553142999997362,,,,,,,,,1.0450940000000628,1.0451732000001357,1.0451787000001787,1.04524820000006,1.0452532999997857,1.0453189999998358,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
blue,f,0,0,6,6,5,1.0553142999997362,,,,,,,,,1.045384600000034,1.0454584999997678,1.0454639999998108,1.0455308999999033,1.0455362000002424,1.045600999999806,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
red,j,1,0,7,7,2,1.0553142999997362,,,,,,,,,1.0456673999997292,1.0457413000003726,1.0457468000004155,1.045813700000508,1.0458188000002338,1.0458831000005375,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
blue,f,0,0,8,8,7,1.0553142999997362,,,,,,,,,1.0459658999998283,1.046049700000367,1.0460558000004312,1.0462145999999848,1.0462250999999014,1.046339600000465,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
red,j,1,0,9,9,6,1.0553142999997362,,,,,,,,,1.0464762999999948,1.046589600000516,1.046596099999988,1.0466733000002932,1.046679099999892,1.046806999999717,,,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
,,,,,,,,,,,,,,,,,,,,,,1.0468338000000585,1.046951700000136,,713792,001,2024-10-21_21h21.34.750,untitled,2024.1.5,None,2024-10-21 21h21.41.725585 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,1.0469589000003907,,,,,,,,
