circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03667920000043523,3.227931399999761,space,3.1764038000001165,None,,,,,,,,,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
,,,,,,,,,,,,,,,,,,3.2279512000004615,3.2280503000001772,,,,,,,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
blue,f,0,0,0,0,5,,,,,3.258113900000353,,,,,,,,,3.2385549999999057,3.2387541999996756,3.238763100000142,3.238866499999858,3.2388731999999436,3.238952700000482,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
blue,f,0,0,1,1,1,,,,,3.258113900000353,,,,,,,,,3.2390494000001127,3.2391344999996363,3.239141000000018,3.2392124999996668,3.239218200000323,3.2392875000005006,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,0,2,2,8,,,,,3.258113900000353,,,,,,,,,3.239365800000087,3.2394563999996535,3.239462700000331,3.2395354000000225,3.2395409999999174,3.2396120000003066,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
blue,f,0,0,3,3,9,,,,,3.258113900000353,,,,,,,,,3.239684600000146,3.239761300000282,3.2397673000004943,3.239835000000312,3.2398400000001857,3.2399046999998973,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,0,4,4,2,,,,,3.258113900000353,,,,,,,,,3.239972100000159,3.240051599999788,3.240057699999852,3.240125299999818,3.240130700000009,3.240195600000334,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
blue,f,0,0,5,5,3,,,,,3.258113900000353,,,,,,,,,3.240261900000405,3.2403369000003295,3.2403430000003937,3.240569200000209,3.2405765000003157,3.240673500000412,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,0,6,6,6,,,,,3.258113900000353,,,,,,,,,3.240771599999789,3.2408830000003945,3.2408894999998665,3.240981699999793,3.240987799999857,3.2410656000001836,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,0,7,7,4,,,,,3.258113900000353,,,,,,,,,3.241151500000342,3.2412514999996347,3.2412579000001642,3.2413587999999436,3.2413698000000295,3.2414698000002318,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
blue,f,0,0,8,8,7,,,,,3.258113900000353,,,,,,,,,3.241599199999655,3.2417231999997966,3.2417334000001574,3.2418281999998726,3.2418337999997675,3.2419126000004326,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,0,9,9,0,,,,,3.258113900000353,,,,,,,,,3.242002500000126,3.2420874999997977,3.242093599999862,3.24216400000023,3.2421691999998075,3.2422348000000056,,,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.2422542000003887,3.242330199999742,,,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2423367999999755,3.2424018000001524,,,,,,,,,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
red,j,1,,,,,0,0,0,8,3.258113900000353,,,,,,,,,,,,,,,,,,,3.251339499999631,3.258113900000353,6.251908000000185,6.246321999999964,6.246334499999648,6.246437499999956,6.246443900000486,6.246519799999987,872338,001,2024-10-21_21h39.11.260,untitled,2024.1.5,None,2024-10-21 21h39.16.208261 +0800,
,,,,,,,,,,,6.251908000000185,,,,,,,,,,,,,,,,,,,6.246654100000342,6.251908000000185,,,,,,,,,,,,,,
