circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,feedback2.started,feedback2.stopped,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02708500000062486,2.752286300000378,space,2.7087486999998873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
,,,,,,,,,,,,,,,,,,,,,,2.752306200000021,2.752411600000414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,0,0,0,3,,,,,,,,,2.7892704000005324,,,,,,,,,2.763687700000446,2.7639364000006026,2.7639480000007097,2.7640897000001132,2.7640981000004103,2.764187900000252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,0,1,1,8,,,,,,,,,2.7892704000005324,,,,,,,,,2.7643471000001227,2.7644490000002406,2.76445590000003,2.764530100000229,2.764535700000124,2.7646042000005764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,0,2,2,2,,,,,,,,,2.7892704000005324,,,,,,,,,2.7646912000000157,2.7647810000007667,2.764787200000683,2.7648575000002893,2.7648630000003322,2.7649294000002556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,0,3,3,4,,,,,,,,,2.7892704000005324,,,,,,,,,2.76500759999999,2.7650908000005074,2.7650971000002755,2.765175100000306,2.765180700000201,2.7652609000006123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,0,4,4,9,,,,,,,,,2.7892704000005324,,,,,,,,,2.7653496000002633,2.765434599999935,2.7654405000002953,2.7655121000007057,2.7655176000007486,2.765585000000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,0,5,5,0,,,,,,,,,2.7892704000005324,,,,,,,,,2.765661100000216,2.765739200000098,2.765744799999993,2.765815100000509,2.7658203000000867,2.7658868000007715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,0,6,6,6,,,,,,,,,2.7892704000005324,,,,,,,,,2.765959600000315,2.7660359999999855,2.7660420000001977,2.766110700000354,2.7661158000000796,2.7661831000004895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,0,7,7,1,,,,,,,,,2.7892704000005324,,,,,,,,,2.7662598000006255,2.766339499999958,2.7663452000006146,2.7664144000000306,2.7664197000003696,2.766486000000441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
